mysql> select cnu2016_vtulsyan.orders.timestamp, sum(order_product.selling_cost * order_product.quantity)
    -> as 'daily_sale' FROM cnu2016_vtulsyan.orders join order_product
    ->                         on cnu2016_vtulsyan.orders.oid = order_product.order_id
    ->                         group by cnu2016_vtulsyan.orders.timestamp;
+---------------------+-------------+
| timestamp           | daily_sale  |
+---------------------+-------------+
| 2003-01-06 00:00:00 |  10223.8300 |
| 2003-01-09 00:00:00 |  10549.0100 |
| 2003-01-10 00:00:00 |   5494.7800 |
| 2003-01-29 00:00:00 |  50218.9500 |
| 2003-01-31 00:00:00 |  40206.2000 |
| 2003-02-11 00:00:00 |  53959.2100 |
| 2003-02-17 00:00:00 |  52151.8100 |
| 2003-02-24 00:00:00 |  22292.6200 |
| 2003-03-03 00:00:00 |  51001.2200 |
| 2003-03-10 00:00:00 |  25833.1400 |
| 2003-03-18 00:00:00 |  48425.6900 |
| 2003-03-24 00:00:00 |   7674.9400 |
| 2003-03-25 00:00:00 |  16537.8500 |
| 2003-03-26 00:00:00 |  11044.3000 |
| 2003-04-01 00:00:00 |  33383.1400 |
| 2003-04-04 00:00:00 |  21665.9800 |
| 2003-04-11 00:00:00 |   1627.5600 |
| 2003-04-16 00:00:00 |  44380.1500 |
| 2003-04-21 00:00:00 |   3101.4000 |
| 2003-04-28 00:00:00 |  35826.3300 |
| 2003-04-29 00:00:00 |  45864.0300 |
| 2003-05-07 00:00:00 |  16700.4700 |
| 2003-05-08 00:00:00 |  50824.6600 |
| 2003-05-20 00:00:00 |  14571.4400 |
| 2003-05-21 00:00:00 |  40207.0600 |
| 2003-05-28 00:00:00 |  57131.9200 |
| 2003-06-03 00:00:00 |  58841.3500 |
| 2003-06-06 00:00:00 |  13884.9900 |
| 2003-06-12 00:00:00 |  29429.1400 |
| 2003-06-16 00:00:00 |  23069.2500 |
| 2003-06-25 00:00:00 |   2880.0000 |
| 2003-06-27 00:00:00 |  22366.0400 |
| 2003-07-01 00:00:00 |  23419.4700 |
| 2003-07-02 00:00:00 |  55601.8400 |
| 2003-07-04 00:00:00 |  14232.7000 |
| 2003-07-07 00:00:00 |  32077.4400 |
| 2003-07-10 00:00:00 |  13920.2600 |
| 2003-07-16 00:00:00 |  24013.5200 |
| 2003-07-24 00:00:00 |  38675.1300 |
| 2003-08-01 00:00:00 |  29716.8600 |
| 2003-08-08 00:00:00 |  56052.5600 |
| 2003-08-10 00:00:00 |  41016.7500 |
| 2003-08-13 00:00:00 |   1128.2000 |
| 2003-08-25 00:00:00 |  50342.7400 |
| 2003-09-03 00:00:00 |   6631.3600 |
| 2003-09-05 00:00:00 |  32680.3100 |
| 2003-09-11 00:00:00 |  41554.7300 |
| 2003-09-12 00:00:00 |  29997.0900 |
| 2003-09-19 00:00:00 |  38350.1500 |
| 2003-09-21 00:00:00 |  32723.0400 |
| 2003-09-25 00:00:00 |   9821.3200 |
| 2003-09-28 00:00:00 |  44939.8500 |
| 2003-10-02 00:00:00 |   4465.8500 |
| 2003-10-04 00:00:00 |  24101.8100 |
| 2003-10-05 00:00:00 |  36798.8800 |
| 2003-10-06 00:00:00 |  61510.7200 |
| 2003-10-08 00:00:00 |   4599.5200 |
| 2003-10-09 00:00:00 |  17746.2600 |
| 2003-10-10 00:00:00 |  56174.0600 |
| 2003-10-11 00:00:00 |  20452.5000 |
| 2003-10-17 00:00:00 |  36164.4600 |
| 2003-10-18 00:00:00 |  30876.4400 |
| 2003-10-20 00:00:00 |  22042.3700 |
| 2003-10-21 00:00:00 |  37099.7500 |
| 2003-10-22 00:00:00 |  67392.8500 |
| 2003-10-23 00:00:00 |  44167.0900 |
| 2003-10-28 00:00:00 |  50743.6500 |
| 2003-11-04 00:00:00 |  53678.1600 |
| 2003-11-05 00:00:00 |  79512.7100 |
